273K: 1=dg3375-07 2=dg3375-05 3=dg3375-06 4=ep855-08 5=ep855-09
# species       # reactions     # init conditions 
4               3               5
# samples       tmin    tmax    iobs 	prt skip t 
100000		0.0	140  	688	250 
output flag log flag case flag  ipred
3           0        1          0
lsq criteria:	eps	tol	imax
		1d-9	1d-9	80
'T  '   't0 '   '1'	'2E'   'cat'	'cmpx'	
273.0	0.0	0.1785	0.0275	1.48E-4	3.00E-4
0	0	0	0	0	0	
273.0	0.0	0.1965  0.0408  1.19E-4 2.90E-4
0	0	0	0	0	0	
273.0	0.0	0.1729  0.0626  1.32E-4 2.67E-4
0	0	0	0	0	0	
273.0	0.0	0.1531  0.0495  1.14E-4 2.53E-4
0	0	0	0	0	0	
273.0	0.0	0.1591  0.0391  1.38E-4 2.76E-4
0	0	0	0	0	0	
                1	1	1	1	0    these are flags for printing
k name, k, ifit, ktp, ktx, # species, species # (1 line ea. fwd and rev rxns)
'k1 '   370.0     1      0       0       2	1	3	1 + cat <-> 2E
'k-1'     0.0     0      0       0       1	4
'k2 '    15.95    1      0       0       1	4               cmpx <-> 2E + cat
'k-2'     0.0     0      0       0       2	2	3
'k3 '   1.00d-16  0      0       0       1	1               1 <-> 2E 
'k-3'   3.18d-3   1      0       0       1	2	
2       1       40      0.028714804789954       0.0002871480479
2       1       44      0.021018784303823       0.000210187843038
2       1       48      0.015295391406981       0.00015295391407
2       1       52      0.01131172936272        0.000113117293627
2       1       56      0.008683784468437       8.6837844684366E-05
2       1       60      0.007152898250984       7.15289825098399E-05
2       1       64      0.006276866577003       6.27686657700324E-05
2       1       68      0.005871280623267       5.8712806232673E-05
2       1       72      0.005723316621774       5.72331662177447E-05
2       1       76      0.005427905381716       5.42790538171567E-05
2       1       80      0.005347611144291       5.34761114429103E-05
2       1       84      0.005394425518862       5.39442551886167E-05
2       1       88      0.005404068346312       5.40406834631236E-05
2       1       92      0.005300295304363       5.30029530436295E-05
2       1       96      0.005327663388623       5.32766338862307E-05
2       1       100     0.005279526045355       5.27952604535529E-05
2       1       104     0.005400478492802       5.40047849280228E-05
2       1       108     0.005336644462246       5.33664446224631E-05
2       1       112     0.005308441753765       5.30844175376489E-05
2       1       116     0.005417748553058       5.41774855305841E-05
2       1       120     0.005275943379985       5.27594337998523E-05
2       1       124     0.005300975654322       5.30097565432189E-05
2       1       128     0.005298864327948       5.29886432794826E-05
2       1       132     0.005320476793862       5.32047679386223E-05
2       1       136     0.005328876728703       5.3288767287027E-05
2       2       4       0.063355375415991       0.00063355375416
2       2       8       0.084899797352379       0.000848997973524
2       2       12      0.105213616779463       0.001052136167795
2       2       16      0.124401426668868       0.001244014266689
2       2       20      0.14249002707013        0.001424900270701
2       2       24      0.159110204781582       0.001591102047816
2       2       28      0.174372408368132       0.001743724083681
2       2       32      0.187984811597558       0.001879848115976
2       2       36      0.199693353360929       0.001996933533609
2       2       40      0.209586932333018       0.00209586932333
2       2       44      0.217360123716768       0.002173601237168
2       2       48      0.223220554131273       0.002232205541313
2       2       52      0.227294870140807       0.002272948701408
2       2       56      0.22987464047128        0.002298746404713
2       2       60      0.231523208631757       0.002315232086318
2       2       64      0.23236348894423        0.002323634889442
2       2       68      0.232885178171757       0.002328851781718
2       2       72      0.233140677549947       0.002331406775499
